,ipq_general_presence,ipq_spatial_presence,ipq_realism,vrsuq_usability,simulator_sickness_total
ipq_general_presence,1.0,0.7344937739434289,0.774003464507862,0.5262757968227205,-0.3142802607531972
ipq_spatial_presence,0.7344937739434289,1.0,0.4769424743348434,0.2984359614607485,-0.23846000708355605
ipq_realism,0.774003464507862,0.4769424743348434,1.0,0.6006214233689685,-0.45789349945563956
vrsuq_usability,0.5262757968227205,0.2984359614607485,0.6006214233689685,1.0,-0.6755117117438995
simulator_sickness_total,-0.3142802607531972,-0.23846000708355605,-0.45789349945563956,-0.6755117117438995,1.0
